Source,Block Name,Variable Name,Variable Description,Value,Value Description
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1011,a1l: Participant has cancer: COVID1,2,No
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1,2,No
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1,2,No
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1014,a1o: Participant has depression: COVID1,2,No
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1015,a1p: Participant has anxiety: COVID1,2,No
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,1,Yes
ALSPAC,wave1m,covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1,2,No
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1,2,No
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1,2,No
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1,2,No
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1,2,No
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1,2,No
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1100,a3: Participant currently takes regular medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1110,Med 1: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-3,Takes < 2 medications
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1120,Med 2: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-3,Takes < 3 medications
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1130,Med 3: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-3,Takes < 4 medications
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1140,Med 4: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-3,Takes < 5 medications
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1150,Med 5: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-3,Takes < 6 medications
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1160,Med 6: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-3,Takes < 7 medications
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1170,Med 7: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-3,Takes < 8 medications
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1180,Med 8: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-3,Takes < 9 medications
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1190,Med 9: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-3,Takes < 10 medications
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1200,Med 10: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-3,Takes < 11 medications
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1210,Med 11: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-3,Takes < 12 medications
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-2,Does not take any medications
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,1,Yes
ALSPAC,wave1m,covid1m_1220,Med 12: Participant takes another medication: COVID1,2,No
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-11,Trips/quads
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-9,Missed section
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-8,Unresolvable
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1250,DV: Number of medications taken: COVID1,13,13 or more meds
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,-11,Trips/Quads
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,-10,Did not complete Q
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,-9,Missed Section
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,-1,Missing
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,0,No
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,1,"Yes, always"
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,2,"Yes, sometimes"
ALSPAC,wave1m,covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1,9,Unsure
ALSPAC,wave1m,covid1m_1500,a5: Participant lives overseas: COVID1,-9999,Consent withdrawn
ALSPAC,wave1m,covid1m_1500,a5: Participant lives overseas: COVID1,-11,Trips/quads
