variable_name,variable_label,value_value,value_label
a13_6,13. Have you experienced any of the following as a result of COVID-19? - Unable to access required medication,999906,Question seen but not answered
a13_8,13. Have you experienced any of the following as a result of COVID-19? - You lost somebody close to you to COVID-19,0,Yes
a13_8,13. Have you experienced any of the following as a result of COVID-19? - You lost somebody close to you to COVID-19,1,No
a13_8,13. Have you experienced any of the following as a result of COVID-19? - You lost somebody close to you to COVID-19,999906,Question seen but not answered
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",0,0 day
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",1,1 day
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",2,2 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",3,3 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",4,4 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",5,5 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",6,6 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",7,7 days
a14,"14. In the past 7 days, how many days have you been self-isolating (not leaving your home/garden)?",999906,Question seen but not answered
a15,"15. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",1,Less
a15,"15. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",2,About the same
a15,"15. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",3,More
a15,"15. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",999906,Question seen but not answered
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",0,0 day
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",1,1 day
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",2,2 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",3,3 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",4,4 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",5,5 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",6,6 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",7,7 days
a16,"16. In the past 7 days, how many days have you been outside for 15 minutes or more (leaving home/garden)?",999906,Question seen but not answered
a17,"17. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",1,Less
a17,"17. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",2,About the same
a17,"17. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",3,More
a17,"17. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",999906,Question seen but not answered
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",0,0 day
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",1,1 day
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",2,2 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",3,3 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",4,4 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",5,5 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",6,6 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",7,7 days
a18,"18. In the past 7 days, how many days have you had face-to-face contact with another person for 15 minutes or more (including someone you live with)?",999906,Question seen but not answered
a19,"19. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",1,Less
a19,"19. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",2,About the same
a19,"19. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",3,More
a19,"19. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",999906,Question seen but not answered
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",0,0 day
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",1,1 day
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",2,2 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",3,3 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",4,4 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",5,5 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",6,6 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",7,7 days
a20,"20. In the past 7 days, how many days have you had a phone or video call with another person for 15 minutes or more?",999906,Question seen but not answered
a21,"21. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",1,Less
a21,"21. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",2,About the same
a21,"21. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",3,More
a21,"21. Is this more, less or about the same as before this period of self isolation related to COVID-19 began?",999906,Question seen but not answered
a22,"22. Overall, in the past week, how satisfied have you been with your life?",0,0 - Not at all
a22,"22. Overall, in the past week, how satisfied have you been with your life?",1,1
a22,"22. Overall, in the past week, how satisfied have you been with your life?",2,2
a22,"22. Overall, in the past week, how satisfied have you been with your life?",3,3
a22,"22. Overall, in the past week, how satisfied have you been with your life?",4,4
a22,"22. Overall, in the past week, how satisfied have you been with your life?",5,5
a22,"22. Overall, in the past week, how satisfied have you been with your life?",6,6
a22,"22. Overall, in the past week, how satisfied have you been with your life?",7,7
a22,"22. Overall, in the past week, how satisfied have you been with your life?",8,8
a22,"22. Overall, in the past week, how satisfied have you been with your life?",9,9
a22,"22. Overall, in the past week, how satisfied have you been with your life?",10,10 - Completly
a22,"22. Overall, in the past week, how satisfied have you been with your life?",999906,Question seen but not answered
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",0,0 - Not at all
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",1,1
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",2,2
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",3,3
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",4,4
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",5,5
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",6,6
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",7,7
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",8,8
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",9,9
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",10,10 - Completly
a23,"23. In the past week, to what extent have you felt the things you are doing in your life are worthwhile?",999906,Question seen but not answered
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",1,Many less people than usual
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",2,A few less people than usual
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",3,No change
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",4,A few more people than usual
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",5,Many more people than usual
a24,"24. On a scale of 1-5, are you interacting with people in any form (e.g. in person, over the phone, via voice chat etc.) more or less due to COVID-19 isolation? The way you interact might've changed e.g. more telephone than face-to-face, but we are interested only in the frequency of contact.",999906,Question seen but not answered
a25,25. Has this change been positive or negative?,1,Positive
a25,25. Has this change been positive or negative?,2,Negative
a25,25. Has this change been positive or negative?,3,Neither positive nor negative
a25,25. Has this change been positive or negative?,999906,Question seen but not answered
a26_1,"26. In the past week, have any of the following aspects of your life changed? - Amount you sleep",1,Decreased
a26_1,"26. In the past week, have any of the following aspects of your life changed? - Amount you sleep",2,Stayed the same
a26_1,"26. In the past week, have any of the following aspects of your life changed? - Amount you sleep",3,Increased
a26_1,"26. In the past week, have any of the following aspects of your life changed? - Amount you sleep",999903,Not applicable
a26_1,"26. In the past week, have any of the following aspects of your life changed? - Amount you sleep",999906,Question seen but not answered
a26_2,"26. In the past week, have any of the following aspects of your life changed? - Amount of physical activity/ exercise you do",1,Decreased
a26_2,"26. In the past week, have any of the following aspects of your life changed? - Amount of physical activity/ exercise you do",2,Stayed the same
a26_2,"26. In the past week, have any of the following aspects of your life changed? - Amount of physical activity/ exercise you do",3,Increased
a26_2,"26. In the past week, have any of the following aspects of your life changed? - Amount of physical activity/ exercise you do",999903,Not applicable
a26_2,"26. In the past week, have any of the following aspects of your life changed? - Amount of physical activity/ exercise you do",999906,Question seen but not answered
a26_3,"26. In the past week, have any of the following aspects of your life changed? - Time spent in green spaces such as parks or gardens",1,Decreased
a26_3,"26. In the past week, have any of the following aspects of your life changed? - Time spent in green spaces such as parks or gardens",2,Stayed the same
a26_3,"26. In the past week, have any of the following aspects of your life changed? - Time spent in green spaces such as parks or gardens",3,Increased
a26_3,"26. In the past week, have any of the following aspects of your life changed? - Time spent in green spaces such as parks or gardens",999903,Not applicable
a26_3,"26. In the past week, have any of the following aspects of your life changed? - Time spent in green spaces such as parks or gardens",999906,Question seen but not answered
a26_4,"26. In the past week, have any of the following aspects of your life changed? - Amount you smoke/vape",1,Decreased
a26_4,"26. In the past week, have any of the following aspects of your life changed? - Amount you smoke/vape",2,Stayed the same
a26_4,"26. In the past week, have any of the following aspects of your life changed? - Amount you smoke/vape",3,Increased
a26_4,"26. In the past week, have any of the following aspects of your life changed? - Amount you smoke/vape",999903,Not applicable
a26_4,"26. In the past week, have any of the following aspects of your life changed? - Amount you smoke/vape",999906,Question seen but not answered
a26_5,"26. In the past week, have any of the following aspects of your life changed? - Amount of alcohol you drink",1,Decreased
a26_5,"26. In the past week, have any of the following aspects of your life changed? - Amount of alcohol you drink",2,Stayed the same
a26_5,"26. In the past week, have any of the following aspects of your life changed? - Amount of alcohol you drink",3,Increased
a26_5,"26. In the past week, have any of the following aspects of your life changed? - Amount of alcohol you drink",999903,Not applicable
a26_5,"26. In the past week, have any of the following aspects of your life changed? - Amount of alcohol you drink",999906,Question seen but not answered
a26_6,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend on public transport",1,Decreased
a26_6,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend on public transport",2,Stayed the same
a26_6,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend on public transport",3,Increased
a26_6,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend on public transport",999903,Not applicable
a26_6,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend on public transport",999906,Question seen but not answered
a26_7,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend in a car",1,Decreased
a26_7,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend in a car",2,Stayed the same
a26_7,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend in a car",3,Increased
a26_7,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend in a car",999903,Not applicable
a26_7,"26. In the past week, have any of the following aspects of your life changed? - Amount of time you spend in a car",999906,Question seen but not answered
a26_8,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work in usual workplace",1,Decreased
a26_8,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work in usual workplace",2,Stayed the same
a26_8,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work in usual workplace",3,Increased
a26_8,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work in usual workplace",999903,Not applicable
a26_8,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work in usual workplace",999906,Question seen but not answered
a26_9,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work at home",1,Decreased
a26_9,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work at home",2,Stayed the same
a26_9,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work at home",3,Increased
a26_9,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work at home",999903,Not applicable
a26_9,"26. In the past week, have any of the following aspects of your life changed? - Number of hours you work at home",999906,Question seen but not answered
a26_10,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends who I live with",1,Decreased
a26_10,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends who I live with",2,Stayed the same
a26_10,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends who I live with",3,Increased
a26_10,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends who I live with",999903,Not applicable
a26_10,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends who I live with",999906,Question seen but not answered
a26_11,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends via phone / technology",1,Decreased
a26_11,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends via phone / technology",2,Stayed the same
a26_11,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends via phone / technology",3,Increased
a26_11,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends via phone / technology",999903,Not applicable
a26_11,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to family/friends via phone / technology",999906,Question seen but not answered
a26_12,"26. In the past week, have any of the following aspects of your life changed? - Time spent digitally socialising (e.g. group chats, watching movies in groups online)",1,Decreased
a26_12,"26. In the past week, have any of the following aspects of your life changed? - Time spent digitally socialising (e.g. group chats, watching movies in groups online)",2,Stayed the same
a26_12,"26. In the past week, have any of the following aspects of your life changed? - Time spent digitally socialising (e.g. group chats, watching movies in groups online)",3,Increased
a26_12,"26. In the past week, have any of the following aspects of your life changed? - Time spent digitally socialising (e.g. group chats, watching movies in groups online)",999903,Not applicable
a26_12,"26. In the past week, have any of the following aspects of your life changed? - Time spent digitally socialising (e.g. group chats, watching movies in groups online)",999906,Question seen but not answered
a26_13,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to work colleagues",1,Decreased
a26_13,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to work colleagues",2,Stayed the same
a26_13,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to work colleagues",3,Increased
a26_13,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to work colleagues",999903,Not applicable
a26_13,"26. In the past week, have any of the following aspects of your life changed? - Time spent talking to work colleagues",999906,Question seen but not answered
a26_14,"26. In the past week, have any of the following aspects of your life changed? - Practising relaxation/mindfulness/meditation",1,Decreased
a26_14,"26. In the past week, have any of the following aspects of your life changed? - Practising relaxation/mindfulness/meditation",2,Stayed the same
a26_14,"26. In the past week, have any of the following aspects of your life changed? - Practising relaxation/mindfulness/meditation",3,Increased
a26_14,"26. In the past week, have any of the following aspects of your life changed? - Practising relaxation/mindfulness/meditation",999903,Not applicable
a26_14,"26. In the past week, have any of the following aspects of your life changed? - Practising relaxation/mindfulness/meditation",999906,Question seen but not answered
a26_15,"26. In the past week, have any of the following aspects of your life changed? - Time spent listening to the news",1,Decreased
a26_15,"26. In the past week, have any of the following aspects of your life changed? - Time spent listening to the news",2,Stayed the same
a26_15,"26. In the past week, have any of the following aspects of your life changed? - Time spent listening to the news",3,Increased
a26_15,"26. In the past week, have any of the following aspects of your life changed? - Time spent listening to the news",999903,Not applicable
a26_15,"26. In the past week, have any of the following aspects of your life changed? - Time spent listening to the news",999906,Question seen but not answered
a26_16,"26. In the past week, have any of the following aspects of your life changed? - Time spent using devices with a screen",1,Decreased
a26_16,"26. In the past week, have any of the following aspects of your life changed? - Time spent using devices with a screen",2,Stayed the same
a26_16,"26. In the past week, have any of the following aspects of your life changed? - Time spent using devices with a screen",3,Increased
a26_16,"26. In the past week, have any of the following aspects of your life changed? - Time spent using devices with a screen",999903,Not applicable
a26_16,"26. In the past week, have any of the following aspects of your life changed? - Time spent using devices with a screen",999906,Question seen but not answered
a26_17,"26. In the past week, have any of the following aspects of your life changed? - Time spent doing hobbies/ things I enjoy",1,Decreased
a26_17,"26. In the past week, have any of the following aspects of your life changed? - Time spent doing hobbies/ things I enjoy",2,Stayed the same
a26_17,"26. In the past week, have any of the following aspects of your life changed? - Time spent doing hobbies/ things I enjoy",3,Increased
a26_17,"26. In the past week, have any of the following aspects of your life changed? - Time spent doing hobbies/ things I enjoy",999903,Not applicable
a26_17,"26. In the past week, have any of the following aspects of your life changed? - Time spent doing hobbies/ things I enjoy",999906,Question seen but not answered
a26_18,"26. In the past week, have any of the following aspects of your life changed? - Amount of fruit you eat",1,Decreased
a26_18,"26. In the past week, have any of the following aspects of your life changed? - Amount of fruit you eat",2,Stayed the same
a26_18,"26. In the past week, have any of the following aspects of your life changed? - Amount of fruit you eat",3,Increased
a26_18,"26. In the past week, have any of the following aspects of your life changed? - Amount of fruit you eat",999903,Not applicable
a26_18,"26. In the past week, have any of the following aspects of your life changed? - Amount of fruit you eat",999906,Question seen but not answered
a26_19,"26. In the past week, have any of the following aspects of your life changed? - Amount of vegetables you eat",1,Decreased
