Variable no,Variable Description
covid1m_2152,a6a16:  Participant had chest pain in Nov: COVID1
covid1m_2153,a6a16:  Participant had chest pain in Dec: COVID1
covid1m_2154,a6a16:  Participant had chest pain in Jan: COVID1
covid1m_2155,a6a16:  Participant had chest pain in Feb: COVID1
covid1m_2156,a6a16:  Participant had chest pain in Mar: COVID1
covid1m_2157,a6a16:  Participant had chest pain in Apr: COVID1
covid1m_2158,a6a16:  Participant had chest pain in last week: COVID1
covid1m_2160,a6a17: Participant ever had fever since Oct: COVID1
covid1m_2161,a6a17:  Participant had fever in Oct: COVID1
covid1m_2162,a6a17:  Participant had fever in Nov: COVID1
covid1m_2163,a6a17:  Participant had fever in Dec: COVID1
covid1m_2164,a6a17:  Participant had fever in Jan: COVID1
covid1m_2165,a6a17:  Participant had fever in Feb: COVID1
covid1m_2166,a6a17:  Participant had fever in Mar: COVID1
covid1m_2167,a6a17:  Participant had fever in Apr: COVID1
covid1m_2168,a6a17:  Participant had fever in last week: COVID1
covid1m_2170,a6a18: Participant ever had chills since Oct: COVID1
covid1m_2171,a6a18:  Participant had chills in Oct: COVID1
covid1m_2172,a6a18:  Participant had chills in Nov: COVID1
covid1m_2173,a6a18:  Participant had chills in Dec: COVID1
covid1m_2174,a6a18:  Participant had chills in Jan: COVID1
covid1m_2175,a6a18:  Participant had chills in Feb: COVID1
covid1m_2176,a6a18:  Participant had chills in Mar: COVID1
covid1m_2177,a6a18:  Participant had chills in Apr: COVID1
covid1m_2178,a6a18:  Participant had chills in last week: COVID1
covid1m_2180,a6a19: Participant ever had difficulty sleeping since Oct: COVID1
covid1m_2181,a6a19:  Participant had difficulty sleeping in Oct: COVID1
covid1m_2182,a6a19:  Participant had difficulty sleeping in Nov: COVID1
covid1m_2183,a6a19:  Participant had difficulty sleeping in Dec: COVID1
covid1m_2184,a6a19:  Participant had difficulty sleeping in Jan: COVID1
covid1m_2185,a6a19:  Participant had difficulty sleeping in Feb: COVID1
covid1m_2186,a6a19:  Participant had difficulty sleeping in Mar: COVID1
covid1m_2187,a6a19:  Participant had difficulty sleeping in Apr: COVID1
covid1m_2188,a6a19:  Participant had difficulty sleeping in last week: COVID1
covid1m_2190,a6a20: Participant ever felt more tired than normal since Oct: COVID1
covid1m_2191,a6a20:  Participant felt more tired than normal in Oct: COVID1
covid1m_2192,a6a20:  Participant felt more tired than normal in Nov: COVID1
covid1m_2193,a6a20:  Participant felt more tired than normal in Dec: COVID1
covid1m_2194,a6a20:  Participant felt more tired than normal in Jan: COVID1
covid1m_2195,a6a20: Participant felt more tired than normal in Feb: COVID1
covid1m_2196,a6a20: Participant felt more tired than normal in Mar: COVID1
covid1m_2197,a6a20:  Participant felt more tired than normal in Apr': COVID1
covid1m_2198,a6a20:  Participant felt more tired than normal in last week: COVID1
covid1m_2200,a6a21: Participant ever had severe fatigue since Oct: COVID1
covid1m_2201,a6a21:  Participant had severe fatigue in Oct: COVID1
covid1m_2202,a6a21:  Participant had severe fatigue in Nov: COVID1
covid1m_2203,a6a21:  Participant had severe fatigue in Dec: COVID1
covid1m_2204,a6a21:  Participant had severe fatigue in Jan: COVID1
covid1m_2205,a6a21:  Participant had severe fatigue in Feb: COVID1
covid1m_2206,a6a21:  Participant had severe fatigue in Mar: COVID1
covid1m_2207,a6a21:  Participant had severe fatigue in Apr: COVID1
covid1m_2208,a6a21:  Participant had severe fatigue in last week: COVID1
covid1m_2210,a6a22: Participant ever had numbness or tingling since Oct: COVID1
covid1m_2211,a6a22:  Participant had numbness or tingling in Oct: COVID1
covid1m_2212,a6a22:  Participant had numbness or tingling in Nov: COVID1
covid1m_2213,a6a22:  Participant had numbness or tingling in Dec: COVID1
covid1m_2214,a6a22:  Participant had numbness or tingling in Jan: COVID1
covid1m_2215,a6a22:  Participant had numbness or tingling in Feb: COVID1
covid1m_2216,a6a22:  Participant had numbness or tingling in Mar: COVID1
covid1m_2217,a6a22:  Participant had numbness or tingling in Apr: COVID1
covid1m_2218,a6a22: Participant had numbness or tingling in last week: COVID1
covid1m_2220,a6a23: Pp ever had a feeling of heaviness in arms or legs since Oct: COVID1
covid1m_2221,a6a23:  Participant had a feeling of heaviness in arms or legs in Oct: COVID1
covid1m_2222,a6a23:  Participant had a feeling of heaviness in arms or legs in Nov: COVID1
covid1m_2223,a6a23:  Participant had a feeling of heaviness in arms or legs in Dec: COVID1
covid1m_2224,a6a23:  Participant had a feeling of heaviness in arms or legs in Jan: COVID1
covid1m_2225,a6a23:  Participant had a feeling of heaviness in arms or legs in Feb: COVID1
covid1m_2226,a6a23:  Participant had a feeling of heaviness in arms or legs in Mar: COVID1
covid1m_2227,a6a23:  Participant had a feeling of heaviness in arms or legs in Apr: COVID1
covid1m_2228,a6a23: Pp had a feeling of heaviness in arms or legs in last week: COVID1
covid1m_2230,a6a24: Participant ever had achy muscles since Oct: COVID1
covid1m_2231,a6a24:  Participant had achy muscles in Oct: COVID1
covid1m_2232,a6a24:  Participant had achy muscles in Nov: COVID1
covid1m_2233,a6a24:  Participant had achy muscles in Dec: COVID1
covid1m_2234,a6a24:  Participant had achy muscles in Jan: COVID1
covid1m_2235,a6a24:  Participant had achy muscles in Feb: COVID1
covid1m_2236,a6a24:  Participant had achy muscles in Mar: COVID1
covid1m_2237,a6a24:  Participant had achy muscles in Apr: COVID1
covid1m_2238,a6a24: Participant had achy muscles in last week: COVID1
covid1m_2240,a6a25: Participant ever had shortness of breath since Oct: COVID1
covid1m_2241,a6a25:  Participant had shortness of breath in Oct: COVID1
covid1m_2242,a6a25: Participant had shortness of breath in Nov: COVID1
covid1m_2243,a6a25:  Participant had shortness of breath in Dec: COVID1
covid1m_2244,a6a25:  Participant had shortness of breath in Jan: COVID1
covid1m_2245,a6a25:  Participant had shortness of breath in Feb: COVID1
covid1m_2246,a6a25:  Participant had shortness of breath in Mar: COVID1
covid1m_2247,a6a25:  Participant had shortness of breath in Apr: COVID1
covid1m_2248,a6a25: Participant had shortness of breath in last week: COVID1
covid1m_2500,DV: Participant did not have any symptoms in the last week: COVID1
covid1m_2510,a6b: If symptoms in last week; # days ago 1st symptom started: COVID1
covid1m_2515,a6c: If symptoms in last week; # days ago last symptom finished: COVID1
covid1m_2520,a6d: If had symptoms in last week; pp sought medical attention: COVID1
covid1m_2521,a6d1: Pp contacted NHS 111; by phone/online about symptoms in last week: COVID1
covid1m_2522,a6d1: Particpant visited pharmacist about symptoms in last week: COVID1
covid1m_2523,a6d1: Pp consulted GP over the phone/online about symptoms in last week: COVID1
covid1m_2524,a6d1: Particpant consulted GP face to face about symptoms in last week: COVID1
covid1m_2525,a6d1: Particpant went to a walk-in centre about symptoms in last week: COVID1
covid1m_2526,a6d1: Pp went to Accident and Emergency about symptoms in last week: COVID1
covid1m_2527,a6d1: Pp sought other medical attention about symptoms in last week: COVID1
covid1m_2540,a6e: Participant took paracetamol to treat symptoms in last week: COVID1
covid1m_2541,a6e: Participant took ibuprofen to treat symptoms in last week: COVID1
covid1m_2542,a6e: Participant took antibiotics to treat symptoms in last week: COVID1
covid1m_2543,a6e: Participant took other medication to treat symptoms in last week: COVID1
covid1m_2560,a7: Participant had temperature taken in the last week: COVID1
covid1m_2561,a7a: Doctor/nurse/other healthcare professional took pp's temperature: COVID1
covid1m_2562,a7b: Participant's highest temperature (Â°C): COVID1
covid1m_2570,a8a: Pp had shortness of breath (difficulty breathing) in last week: COVID1
covid1m_2580,a9: Participant thinks they have or have had COVID-19: COVID1
covid1m_2585,a10: Pp close contact w/ person w/ COVID-like symptoms in last 2 weeks: COVID1
covid1m_2590,a11: Participant had a flu jab in the last 12 months: COVID1
covid1m_2600,DV: Predicted COVID case; based on Menni algorithm (October): COVID1
covid1m_2601,DV: Predicted COVID case; based on Menni algorithm (November): COVID1
covid1m_2602,DV: Predicted COVID case; based on Menni algorithm (December): COVID1
covid1m_2603,DV: Predicted COVID case; based on Menni algorithm (January): COVID1
covid1m_2604,DV: Predicted COVID case; based on Menni algorithm (February): COVID1
covid1m_2605,DV: Predicted COVID case; based on Menni algorithm (March): COVID1
covid1m_2606,DV: Predicted COVID case; based on Menni algorithm (April): COVID1
covid1m_2607,DV: Predicted COVID case; based on Menni algorithm (Last week): COVID1
covid1m_3000,b1: Participant has or is self-isolating : COVID1
covid1m_3005,DV: How many weeks participant self-isolated/planning to self-isolate: COVID1
covid1m_3010,b1c: Participant self-isolated because they were diagnosed with COVID-19: COVID1
covid1m_3011,b1c: Pp self-isolated bc showed symptoms; but not diagnosed COVID-19: COVID1
covid1m_3012,b1c: Pp self-isolated because they someone in household had symptoms: COVID1
covid1m_3013,b1c:  Participant self-isolated because they are in a vulnerable group: COVID1
covid1m_3014,b1c: Pp self-isolated because live with someone in a vulnerable group: COVID1
covid1m_3015,b1c: Pp self-isolated bc travelled somewhere and was told to on return: COVID1
covid1m_3016,b1c:  Participant self-isolated for another reason: COVID1
covid1m_3020,b2: Pp changed what they did on a day to day basis before lockdown: COVID1
covid1m_3021,b2a: Pp changed behaviour because they showed symptoms and felt unwell: COVID1
covid1m_3022,b2a: Pp changed behaviour because they didn't want to infect others: COVID1
covid1m_3023,b2a:  Participant changed behaviour because they were following advice: COVID1
covid1m_3024,b2a: Pp changed behaviour because didn't want to get infected by others: COVID1
covid1m_3025,b2a:  Participant changed behaviour for another reason: COVID1
covid1m_3030,b2b: Before lockdown participant cancelled their usual social activities: COVID1
covid1m_3031,b2b: Before lockdown participant had to stop working: COVID1
covid1m_3032,b2b: Before lockdown participant moved to working at home: COVID1
covid1m_3033,b2b: Before lockdown participant didn't attend lectures: COVID1
covid1m_3034,b2b: Before lockdown participant didn't go shopping: COVID1
covid1m_3035,b2b: Before lockdown participant didn't leave the house: COVID1
covid1m_3036,b2b: Before lockdown participant wore a mask: COVID1
covid1m_3037,b2b: Before lockdown pp tried to avoid physical contact with people: COVID1
covid1m_3038,b2b: Before lockdown participant followed handwashing recommendations: COVID1
covid1m_3039,b2b: Before lockdown participant used hand sanitizer more than usual: COVID1
covid1m_3040,b2b: Before lockdown participant used tissues more than usual: COVID1
covid1m_3045,b3: # events pp took part in w/ >10 people; in week before lockdown: COVID1
covid1m_3050,b4a: Since lockdown participant has changed amount they sleep: COVID1
covid1m_3051,b4b: Since lockdown pp changed amount of physical activity/exercise: COVID1
covid1m_3052,b4c: Since lockdown pp changed how much they visit green space: COVID1
covid1m_3053,b4d: Since lockdown participant has changed amount they smoke/vape: COVID1
covid1m_3054,b4e: Since lockdown participant has changed amount of alcohol they drink: COVID1
covid1m_3055,b4f: Since lockdown pp changed how much they work outside home: COVID1
covid1m_3056,b4g: Since lockdown participant has changed how much they work at home: COVID1
covid1m_3057,b4h: Since lockdown pp changed time spent on computer/tablet/phone: COVID1
covid1m_3058,b4i: Since lockdown participant has changed the time spent watching TV: COVID1
covid1m_3059,b4j: Since lockdown pp changed time talking family/friends inside home: COVID1
covid1m_3060,b4k: Since lockdown pp changed time talking family/friends outside home: COVID1
covid1m_3061,b4l: Since lockdown pp changed time spent talking to work colleagues: COVID1
covid1m_3062,b4m: Since lockdown pp changed freq relaxation/mindfulness/meditation: COVID1
covid1m_3063,b4n: Since lockdown pp changed how much time listening to news: COVID1
covid1m_3064,b4o: Since lockdown pp changed how much time learning new things: COVID1
covid1m_3065,b4p: Since lockdown pp changed time spent doing hobbies/things enjoy: COVID1
covid1m_3066,b4q: Since lockdown participant has changed how much they eat: COVID1
covid1m_3067,b4r: Since lockdown participant has changed how much money they've spent: COVID1
covid1m_3100,b5a: How many 0-4 year olds participant spoke to yesterday face to face: COVID1
covid1m_3101,b5a: How many 5-17 year olds participant spoke to yesterday face to face: COVID1
covid1m_3102,b5a: How many 18-69 year olds pp spoke to yesterday face to face: COVID1
covid1m_3103,b5a: How many 70+ year olds participant spoke to yesterday face to face: COVID1
covid1m_3110,b5b: How many 0-4 year olds participant spoke to yesterday by phone: COVID1
covid1m_3111,b5b: How many 5-17 year olds participant spoke to yesterday by phone: COVID1
covid1m_3112,b5b: How many 18-69 year olds participant spoke to yesterday by phone: COVID1
covid1m_3113,b5b: How many 70+ year olds participant spoke to yesterday by phone: COVID1
covid1m_3120,b5c: How many 0-4 year olds pp spoke to yesterday via video media: COVID1
covid1m_3121,b5c: How many 5-17 year olds pp spoke to yesterday via video media: COVID1
covid1m_3122,b5c: How many 18-69 year olds pp spoke to yesterday via video media: COVID1
covid1m_3123,b5c: How many 70+ year olds pp spoke to yesterday via video media: COVID1
covid1m_3130,b5d: How many 0-4y.o. pp spoke to yesterday with physical contact: COVID1
covid1m_3131,b5d: How many 5-17y.o. pp spoke to yesterday with physical contact: COVID1
covid1m_3132,b5d: How many 18-69y.o. pp spoke to yesterday with physical contact: COVID1
covid1m_3133,b5d: How many 70+y.o. pp spoke to yesterday with physical contact: COVID1
covid1m_3140,b6a: Freq pp connected w/ friends by phone/text/video call in last week: COVID1
covid1m_3141,b6b: Freq connected w/ family outside home phone/text/video in last week: COVID1
covid1m_3142,b6c: Freq connected w/ colleagues by phone/text/video call in last week: COVID1
covid1m_3143,b6d: Freq pp worked face to face with colleagues in last week: COVID1
covid1m_3144,b6e: Freq pp took part in an organised community activity in last week: COVID1
covid1m_4000,c1a: How worried participant is about getting COVID-19: COVID1
covid1m_4010,c1b: How worried pp is about someone close to them getting COVID-19: COVID1
covid1m_4011,c1c: How worried participant is about passing on COVID-19 to others: COVID1
covid1m_4012,c1d: How worried pp is about dying due to COVID-19 infection: COVID1
covid1m_4013,c1e: How worried pp about someone close dying due to COVID-19 infection: COVID1
covid1m_4014,c1f: How worried pp about them/family being in serious financial trouble: COVID1
covid1m_4015,c1g: How worried participant is about losing their job: COVID1
covid1m_4016,c1h: How worried participant is about the impact on their business: COVID1
covid1m_4017,c1I: How worried participant is about paying the rent/mortgage: COVID1
covid1m_4018,c1j: How worried participant is about not seeing friends and family: COVID1
covid1m_4019,c1k: How worried participant is about getting the medications they  need: COVID1
covid1m_4020,c1l: How worried participant is about getting the food they need: COVID1
covid1m_4021,c1m: How worried participant is about their mental health: COVID1
covid1m_4022,c1n: How worried participant is about their physical health: COVID1
covid1m_4023,c1o: How worried pp is about the relationship with their spouse/partner: COVID1
covid1m_4024,c1p: How worried pp is about the relationship with their children: COVID1
covid1m_4025,c1q: How worried pp is about the relationship with the rest of family: COVID1
covid1m_4026,c1r: How worried participant is about the impact on their children: COVID1
covid1m_4027,c1s: How worried participant is about the impact on their parents: COVID1
covid1m_4028,c1t: How worried pp is about time for things to get back to normal: COVID1
covid1m_4029,c1u: How worried participant is another reason: COVID1
covid1m_4050,c2a: In past two weeks participant felt miserable or unhappy: COVID1
covid1m_4051,c2b: In past two weeks participant didn't enjoy anything at all: COVID1
covid1m_4052,c2c: In past two weeks pp felt so tired just sat around and did nothing: COVID1
covid1m_4053,cd: In past two weeks participant was very restless : COVID1
covid1m_4054,c2e: In past two weeks participant they felt they were no good anymore : COVID1
covid1m_4055,c2f: In past two weeks participant cried a lot : COVID1
covid1m_4056,c2g: In past two weeks pp found it hard to think properly/concentrate: COVID1
covid1m_4057,c2h: In past two weeks participant hated themselves : COVID1
covid1m_4058,c2i: In past two weeks participant was a bad person : COVID1
covid1m_4059,c2j: In past two weeks participant felt lonely : COVID1
covid1m_4060,ck: In past two weeks participant thought nobody really loved them: COVID1
covid1m_4061,c2l: In past two weeks pp thought could never be as good as others: COVID1
covid1m_4062,c2m: In past two weeks participant did everything wrong: COVID1
covid1m_4065,DV: Total score - Moods and feelings Q: COVID1
